ID_Cancion,Titulo,Artista,Genero,Nivel_Energia,Duracion_Segundos,Reproducciones_Streaming
TRK-0125,Canción Track_125,Bad Bunny,Salsa/Tropical,72,194,1905191.0
TRK-0126,Canción Track_126,Aitana,Salsa/Tropical,31,146,211188.0
TRK-0127,Canción Track_127,Aitana,Reggaeton/Urbano,24,139,148606.0
TRK-0128,Canción Track_128,Aitana,Reggaeton/Urbano,58,267,
TRK-0129,Canción Track_129,Gepe,Pop/Indie,41,143,305425.0
TRK-0130,Canción Track_130,Los Prisioneros,,100,270,167813.0
TRK-0131,Canción Track_131,Gepe,Reggaeton/Urbano,67,143,292593.0
TRK-0132,Canción Track_132,Feid,Pop/Indie,58,195,1574052.0
TRK-0133,Canción Track_133,Feid,Rock,70,254,167411.0
TRK-0134,Canción Track_134,Los Prisioneros,Rock,34,289,679473.0
TRK-0135,Canción Track_135,Los Prisioneros,Pop/Indie,96,271,530282.0
TRK-0136,Canción Track_136,Karol G,Pop/Indie,52,298,496730.0
TRK-0137,Canción Track_137,Gepe,Rock,42,281,26063.0
TRK-0138,Canción Track_138,Karol G,Reggaeton/Urbano,53,193,158994.0
TRK-0139,Canción Track_139,Aitana,Reggaeton/Urbano,61,140,428746.0
TRK-0140,Canción Track_140,Feid,Reggaeton/Urbano,86,243,239903.0
TRK-0141,Canción Track_141,Cami,Rock,30,216,31300.0
TRK-0142,Canción Track_142,Rosalía,Reggaeton/Urbano,38,124,3121830.0
TRK-0143,Canción Track_143,Duki,Reggaeton/Urbano,26,140,492103.0
TRK-0144,Canción Track_144,Bad Bunny,Reggaeton/Urbano,94,261,1065672.0
TRK-0145,Canción Track_145,Bad Bunny,Salsa/Tropical,63,156,97217.0
TRK-0146,Canción Track_146,Bad Bunny,Reggaeton/Urbano,68,280,1378706.0
TRK-0147,Canción Track_147,Mon Laferte,Pop/Indie,89,232,19912.0
TRK-0148,Canción Track_148,Karol G,Salsa/Tropical,28,265,2454469.0
TRK-0149,Canción Track_149,Cami,Pop/Indie,59,291,213904.0
TRK-0150,Canción Track_150,Bad Bunny,Pop/Indie,95,139,3296791.0
TRK-0151,Canción Track_151,Los Prisioneros,Salsa/Tropical,55,227,620227.0
TRK-0152,Canción Track_152,Los Prisioneros,Reggaeton/Urbano,38,287,
TRK-0153,Canción Track_153,Mon Laferte,,42,295,715413.0
TRK-0154,Canción Track_154,Bad Bunny,Reggaeton/Urbano,100,152,389955.0
TRK-0155,Canción Track_155,Aitana,Rock,33,135,724349.0
TRK-0156,Canción Track_156,Cami,Rock,22,272,431193.0
TRK-0157,Canción Track_157,Rosalía,Rock,58,244,754952.0
TRK-0158,Canción Track_158,Rosalía,Pop/Indie,39,247,545186.0
TRK-0159,Canción Track_159,Cami,Salsa/Tropical,81,248,66837.0
TRK-0160,Canción Track_160,Rosalía,Reggaeton/Urbano,62,168,1284846.0
TRK-0161,Canción Track_161,Aitana,Reggaeton/Urbano,74,213,613371.0
TRK-0162,Canción Track_162,Rosalía,Reggaeton/Urbano,33,226,1509645.0
TRK-0163,Canción Track_163,Bad Bunny,Pop/Indie,51,280,1064053.0
TRK-0164,Canción Track_164,Los Prisioneros,,44,245,376480.0
TRK-0165,Canción Track_165,Feid,Rock,65,232,390835.0
TRK-0166,Canción Track_166,Gepe,Reggaeton/Urbano,64,192,21561.0
TRK-0167,Canción Track_167,Los Prisioneros,Salsa/Tropical,58,150,729892.0
TRK-0168,Canción Track_168,Los Prisioneros,Reggaeton/Urbano,56,294,319730.0
TRK-0169,Canción Track_169,Rosalía,Salsa/Tropical,26,298,660485.0
TRK-0170,Canción Track_170,Mon Laferte,Pop/Indie,34,209,668447.0
TRK-0171,Canción Track_171,Feid,Reggaeton/Urbano,72,299,28492.0
TRK-0172,Canción Track_172,Karol G,Rock,22,259,387020.0
TRK-0173,Canción Track_173,Mon Laferte,,26,249,305260.0
TRK-0174,Canción Track_174,Mon Laferte,Reggaeton/Urbano,96,224,1729475.0
TRK-0175,Canción Track_175,Rosalía,Reggaeton/Urbano,60,190,47718.0
TRK-0176,Canción Track_176,Cami,Salsa/Tropical,90,265,53133.0
TRK-0177,Canción Track_177,Duki,Salsa/Tropical,71,174,53341.0
TRK-0178,Canción Track_178,Los Prisioneros,Rock,28,232,134656.0
TRK-0179,Canción Track_179,Aitana,,93,248,52649.0
TRK-0180,Canción Track_180,Los Prisioneros,Reggaeton/Urbano,52,184,262525.0
TRK-0181,Canción Track_181,Mon Laferte,Reggaeton/Urbano,76,188,388552.0
TRK-0182,Canción Track_182,Gepe,Reggaeton/Urbano,86,223,342423.0
TRK-0183,Canción Track_183,Mon Laferte,Reggaeton/Urbano,59,207,1092843.0
TRK-0184,Canción Track_184,Rosalía,Rock,54,265,763015.0
TRK-0185,Canción Track_185,Duki,,88,276,28611.0
TRK-0186,Canción Track_186,Los Prisioneros,Reggaeton/Urbano,20,223,785690.0
TRK-0187,Canción Track_187,Feid,Reggaeton/Urbano,55,226,1311125.0
TRK-0188,Canción Track_188,Duki,Reggaeton/Urbano,30,176,836928.0
TRK-0189,Canción Track_189,Rosalía,,68,134,214736.0
TRK-0190,Canción Track_190,Duki,Rock,78,152,471209.0
TRK-0191,Canción Track_191,Los Prisioneros,Salsa/Tropical,51,221,209260.0
TRK-0192,Canción Track_192,Duki,Reggaeton/Urbano,48,195,413726.0
TRK-0193,Canción Track_193,Rosalía,Reggaeton/Urbano,86,157,1089135.0
TRK-0194,Canción Track_194,Bad Bunny,Reggaeton/Urbano,98,137,20226.0
TRK-0195,Canción Track_195,Gepe,,59,134,
TRK-0196,Canción Track_196,Los Prisioneros,Pop/Indie,45,216,869398.0
TRK-0197,Canción Track_197,Aitana,Reggaeton/Urbano,74,147,119139.0
TRK-0198,Canción Track_198,Los Prisioneros,Reggaeton/Urbano,20,138,293259.0
TRK-0199,Canción Track_199,Los Prisioneros,Reggaeton/Urbano,76,222,1331499.0
TRK-0200,Canción Track_200,Aitana,Reggaeton/Urbano,21,213,313918.0
TRK-0201,Canción Track_201,Duki,Reggaeton/Urbano,47,161,
TRK-0202,Canción Track_202,Karol G,Salsa/Tropical,78,202,32884.0
TRK-0203,Canción Track_203,Rosalía,Reggaeton/Urbano,36,248,404485.0
TRK-0204,Canción Track_204,Bad Bunny,Reggaeton/Urbano,92,196,186278.0
TRK-0205,Canción Track_205,Duki,Reggaeton/Urbano,56,224,734547.0
TRK-0206,Canción Track_206,Bad Bunny,Salsa/Tropical,91,123,464382.0
TRK-0207,Canción Track_207,Los Prisioneros,Salsa/Tropical,22,293,29910.0
TRK-0208,Canción Track_208,Cami,Reggaeton/Urbano,70,203,672394.0
TRK-0209,Canción Track_209,Cami,Rock,45,127,347481.0
TRK-0210,Canción Track_210,Bad Bunny,Salsa/Tropical,28,140,845542.0
TRK-0211,Canción Track_211,Los Prisioneros,Pop/Indie,51,141,141309.0
TRK-0212,Canción Track_212,Mon Laferte,Pop/Indie,79,165,1044797.0
TRK-0213,Canción Track_213,Mon Laferte,Pop/Indie,65,259,386542.0
TRK-0214,Canción Track_214,Karol G,Reggaeton/Urbano,61,274,197309.0
TRK-0215,Canción Track_215,Aitana,Reggaeton/Urbano,77,271,
TRK-0216,Canción Track_216,Cami,Pop/Indie,32,181,
TRK-0217,Canción Track_217,Feid,Pop/Indie,87,170,1290800.0
TRK-0218,Canción Track_218,Los Prisioneros,Pop/Indie,34,138,338237.0
TRK-0219,Canción Track_219,Gepe,Reggaeton/Urbano,68,286,324114.0
TRK-0220,Canción Track_220,Rosalía,Reggaeton/Urbano,21,253,571603.0
TRK-0221,Canción Track_221,Rosalía,Reggaeton/Urbano,59,207,492941.0
TRK-0222,Canción Track_222,Cami,Salsa/Tropical,60,218,278169.0
TRK-0223,Canción Track_223,Cami,Rock,88,192,1215308.0
TRK-0224,Canción Track_224,Mon Laferte,Rock,70,255,956110.0
TRK-0225,Canción Track_225,Feid,Reggaeton/Urbano,54,298,169254.0
TRK-0226,Canción Track_226,Los Prisioneros,Reggaeton/Urbano,50,187,660208.0
TRK-0227,Canción Track_227,Gepe,Pop/Indie,25,139,75105.0
TRK-0228,Canción Track_228,Feid,Rock,62,249,115202.0
TRK-0229,Canción Track_229,Cami,Pop/Indie,28,233,409107.0
TRK-0230,Canción Track_230,Cami,Pop/Indie,99,246,327198.0
TRK-0231,Canción Track_231,Aitana,Rock,64,274,731146.0
TRK-0232,Canción Track_232,Aitana,Reggaeton/Urbano,83,247,359338.0
TRK-0233,Canción Track_233,Bad Bunny,Reggaeton/Urbano,27,246,40861.0
TRK-0234,Canción Track_234,Mon Laferte,Pop/Indie,46,242,30198.0
TRK-0235,Canción Track_235,Gepe,Pop/Indie,99,145,128286.0
TRK-0236,Canción Track_236,Duki,Pop/Indie,34,279,37605.0
TRK-0237,Canción Track_237,Mon Laferte,Reggaeton/Urbano,98,242,1235051.0
TRK-0238,Canción Track_238,Mon Laferte,Pop/Indie,56,299,57697.0
TRK-0239,Canción Track_239,Bad Bunny,Pop/Indie,37,125,225534.0
TRK-0240,Canción Track_240,Rosalía,Rock,29,213,487604.0
TRK-0241,Canción Track_241,Feid,Pop/Indie,100,284,93561.0
TRK-0242,Canción Track_242,Karol G,Reggaeton/Urbano,88,132,36742.0
TRK-0243,Canción Track_243,Bad Bunny,Salsa/Tropical,25,217,67187.0
TRK-0244,Canción Track_244,Aitana,Pop/Indie,81,181,103859.0
TRK-0245,Canción Track_245,Karol G,Pop/Indie,66,259,640198.0
TRK-0246,Canción Track_246,Feid,Reggaeton/Urbano,87,168,119948.0
TRK-0247,Canción Track_247,Rosalía,Reggaeton/Urbano,43,265,1155577.0
TRK-0248,Canción Track_248,Aitana,Rock,35,243,232150.0
TRK-0249,Canción Track_249,Aitana,Reggaeton/Urbano,35,256,1004070.0
TRK-0250,Canción Track_250,Los Prisioneros,,34,280,1123159.0
TRK-0251,Canción Track_251,Aitana,Reggaeton/Urbano,97,263,158161.0
TRK-0252,Canción Track_252,Duki,Reggaeton/Urbano,90,241,458763.0
TRK-0253,Canción Track_253,Los Prisioneros,Rock,60,230,
TRK-0254,Canción Track_254,Karol G,Rock,55,201,911993.0
TRK-0255,Canción Track_255,Gepe,Salsa/Tropical,77,202,1203076.0
TRK-0256,Canción Track_256,Duki,Reggaeton/Urbano,63,254,962193.0
TRK-0257,Canción Track_257,Rosalía,Pop/Indie,93,219,518051.0
TRK-0258,Canción Track_258,Duki,Salsa/Tropical,23,206,
TRK-0259,Canción Track_259,Aitana,Pop/Indie,92,277,437288.0
TRK-0260,Canción Track_260,Los Prisioneros,Salsa/Tropical,49,205,179096.0
TRK-0261,Canción Track_261,Mon Laferte,Pop/Indie,95,197,577319.0
TRK-0262,Canción Track_262,Duki,,92,255,459870.0
TRK-0263,Canción Track_263,Bad Bunny,Reggaeton/Urbano,98,241,155262.0
TRK-0264,Canción Track_264,Los Prisioneros,Salsa/Tropical,96,154,192817.0
TRK-0265,Canción Track_265,Duki,Reggaeton/Urbano,76,166,61146.0
TRK-0266,Canción Track_266,Karol G,Reggaeton/Urbano,73,215,526260.0
TRK-0267,Canción Track_267,Feid,Reggaeton/Urbano,28,252,
TRK-0268,Canción Track_268,Feid,Pop/Indie,59,266,386293.0
TRK-0269,Canción Track_269,Aitana,Pop/Indie,70,205,671404.0
TRK-0270,Canción Track_270,Rosalía,Pop/Indie,61,151,212347.0
TRK-0271,Canción Track_271,Feid,Rock,25,292,427801.0
TRK-0272,Canción Track_272,Karol G,Pop/Indie,68,291,798615.0
TRK-0273,Canción Track_273,Aitana,Pop/Indie,70,268,1038241.0
TRK-0274,Canción Track_274,Rosalía,Pop/Indie,84,295,856202.0
TRK-0275,Canción Track_275,Mon Laferte,Reggaeton/Urbano,62,159,1793191.0
TRK-0276,Canción Track_276,Cami,Pop/Indie,43,136,61136.0
TRK-0277,Canción Track_277,Feid,Reggaeton/Urbano,26,289,190026.0
TRK-0278,Canción Track_278,Aitana,Salsa/Tropical,52,125,188650.0
TRK-0279,Canción Track_279,Aitana,Reggaeton/Urbano,35,181,399359.0
TRK-0280,Canción Track_280,Aitana,Salsa/Tropical,83,260,586537.0
TRK-0281,Canción Track_281,Gepe,Pop/Indie,49,147,282381.0
TRK-0282,Canción Track_282,Aitana,Reggaeton/Urbano,68,235,999801.0
TRK-0283,Canción Track_283,Aitana,Pop/Indie,64,257,146394.0
TRK-0284,Canción Track_284,Bad Bunny,Pop/Indie,76,172,216412.0
TRK-0285,Canción Track_285,Feid,,62,203,359214.0
TRK-0286,Canción Track_286,Los Prisioneros,Reggaeton/Urbano,27,236,2299033.0
TRK-0287,Canción Track_287,Mon Laferte,Pop/Indie,31,241,568106.0
TRK-0288,Canción Track_288,Mon Laferte,Reggaeton/Urbano,81,246,330799.0
TRK-0289,Canción Track_289,Bad Bunny,Pop/Indie,91,281,994521.0
TRK-0290,Canción Track_290,Aitana,Reggaeton/Urbano,76,260,768223.0
TRK-0291,Canción Track_291,Cami,Reggaeton/Urbano,86,159,669531.0
TRK-0292,Canción Track_292,Los Prisioneros,Pop/Indie,48,231,360665.0
TRK-0293,Canción Track_293,Los Prisioneros,Salsa/Tropical,32,226,19929.0
TRK-0294,Canción Track_294,Karol G,Salsa/Tropical,92,129,845941.0
TRK-0295,Canción Track_295,Feid,Pop/Indie,21,202,368025.0
TRK-0296,Canción Track_296,Bad Bunny,Salsa/Tropical,26,201,438756.0
TRK-0297,Canción Track_297,Mon Laferte,Reggaeton/Urbano,72,234,
TRK-0298,Canción Track_298,Cami,Pop/Indie,69,285,206876.0
TRK-0299,Canción Track_299,Feid,Rock,77,227,114086.0
TRK-0300,Canción Track_300,Los Prisioneros,Reggaeton/Urbano,64,283,47444.0
TRK-0301,Canción Track_301,Aitana,Pop/Indie,96,245,21580.0
TRK-0302,Canción Track_302,Mon Laferte,Rock,79,290,1687686.0
TRK-0303,Canción Track_303,Karol G,Salsa/Tropical,49,141,842702.0
TRK-0304,Canción Track_304,Gepe,Rock,71,166,202637.0
TRK-0305,Canción Track_305,Los Prisioneros,Reggaeton/Urbano,96,121,768269.0
TRK-0306,Canción Track_306,Cami,Salsa/Tropical,77,240,173168.0
TRK-0307,Canción Track_307,Feid,Rock,44,258,1247673.0
TRK-0308,Canción Track_308,Rosalía,Rock,57,250,
TRK-0309,Canción Track_309,Los Prisioneros,Rock,53,123,215501.0
TRK-0310,Canción Track_310,Cami,Reggaeton/Urbano,45,242,1608716.0
TRK-0311,Canción Track_311,Feid,Salsa/Tropical,61,249,
TRK-0312,Canción Track_312,Cami,Pop/Indie,40,126,559830.0
TRK-0313,Canción Track_313,Feid,Reggaeton/Urbano,43,194,181535.0
TRK-0314,Canción Track_314,Rosalía,Pop/Indie,96,279,326082.0
TRK-0315,Canción Track_315,Feid,Reggaeton/Urbano,32,226,107500.0
TRK-0316,Canción Track_316,Duki,Reggaeton/Urbano,36,284,883165.0
TRK-0317,Canción Track_317,Rosalía,Pop/Indie,53,269,160185.0
TRK-0318,Canción Track_318,Cami,Reggaeton/Urbano,37,161,203917.0
TRK-0319,Canción Track_319,Cami,Reggaeton/Urbano,29,157,443695.0
TRK-0320,Canción Track_320,Duki,Pop/Indie,67,162,1114392.0
TRK-0321,Canción Track_321,Cami,Salsa/Tropical,91,206,139516.0
TRK-0322,Canción Track_322,Aitana,Pop/Indie,55,156,87908.0
TRK-0323,Canción Track_323,Gepe,Reggaeton/Urbano,20,198,198936.0
TRK-0324,Canción Track_324,Gepe,Reggaeton/Urbano,66,190,965556.0
TRK-0325,Canción Track_325,Mon Laferte,Rock,97,295,730800.0
TRK-0326,Canción Track_326,Cami,Pop/Indie,39,208,100892.0
TRK-0327,Canción Track_327,Duki,Rock,29,280,773873.0
TRK-0328,Canción Track_328,Mon Laferte,Pop/Indie,93,148,48726.0
TRK-0329,Canción Track_329,Rosalía,Rock,45,120,208783.0
TRK-0330,Canción Track_330,Gepe,Pop/Indie,97,176,962249.0
TRK-0331,Canción Track_331,Mon Laferte,Rock,94,171,445739.0
TRK-0332,Canción Track_332,Feid,Salsa/Tropical,70,164,
TRK-0333,Canción Track_333,Bad Bunny,Rock,23,262,407485.0
TRK-0334,Canción Track_334,Cami,Salsa/Tropical,37,220,369313.0
TRK-0335,Canción Track_335,Los Prisioneros,Pop/Indie,57,236,
TRK-0336,Canción Track_336,Aitana,Salsa/Tropical,22,161,49588.0
TRK-0337,Canción Track_337,Mon Laferte,Reggaeton/Urbano,98,209,
TRK-0338,Canción Track_338,Rosalía,,61,269,70080.0
TRK-0339,Canción Track_339,Feid,Reggaeton/Urbano,27,238,1424718.0
TRK-0340,Canción Track_340,Aitana,Reggaeton/Urbano,96,229,1001841.0
TRK-0341,Canción Track_341,Gepe,Reggaeton/Urbano,22,179,122706.0
TRK-0342,Canción Track_342,Gepe,Rock,71,252,
TRK-0343,Canción Track_343,Cami,Rock,95,231,2162128.0
TRK-0344,Canción Track_344,Cami,Salsa/Tropical,84,151,1454350.0
TRK-0345,Canción Track_345,Rosalía,Pop/Indie,41,275,505152.0
TRK-0346,Canción Track_346,Cami,Pop/Indie,91,179,107663.0
TRK-0347,Canción Track_347,Bad Bunny,Reggaeton/Urbano,92,251,
TRK-0348,Canción Track_348,Mon Laferte,Reggaeton/Urbano,56,242,138213.0
TRK-0349,Canción Track_349,Gepe,Salsa/Tropical,37,199,235748.0
TRK-0350,Canción Track_350,Los Prisioneros,Pop/Indie,97,268,1210499.0
TRK-0351,Canción Track_351,Los Prisioneros,Reggaeton/Urbano,67,215,149716.0
TRK-0352,Canción Track_352,Feid,Reggaeton/Urbano,88,244,197683.0
TRK-0353,Canción Track_353,Gepe,Pop/Indie,45,156,1202749.0
TRK-0354,Canción Track_354,Duki,Pop/Indie,25,216,254785.0
TRK-0355,Canción Track_355,Cami,Pop/Indie,99,281,380655.0
TRK-0356,Canción Track_356,Duki,Pop/Indie,57,150,36172.0
TRK-0357,Canción Track_357,Duki,Pop/Indie,40,240,246147.0
TRK-0358,Canción Track_358,Mon Laferte,Rock,84,200,597398.0
TRK-0359,Canción Track_359,Rosalía,Pop/Indie,87,201,781327.0
TRK-0360,Canción Track_360,Bad Bunny,Salsa/Tropical,62,282,862489.0
TRK-0361,Canción Track_361,Rosalía,Reggaeton/Urbano,45,147,142236.0
